x,y,z,a,b,c,d,e,f,g,h,class
0,0,88594951,58632074,54174704,82986660,43036377,39950283,29820118,15595697,14224421,1
0,0,88594951,66300466,60627660,93807612,48825259,44982353,33120514,17475207,15645307,1
0,0,88594951,69418835,63290377,96804494,50488158,46316336,35904718,18930677,16974041,1
0,0,88594951,63982396,56544053,83902472,44570557,39331915,36623977,19411839,17212138,1
0,0,88594951,57584693,53839529,73835046,38138662,35696384,37589176,19446031,18143145,1
0,0,88594951,51344208,50069757,66068270,33375989,32692281,35345695,17968219,17377476,1
0,0,88594951,44660674,43934277,57911779,28934192,28977587,30683172,15726482,14956690,1
0,0,85140684,42919381,42221303,56062707,28125561,27937146,29077977,14793820,14284157,1
0,0,72438112,37545386,34892726,47581008,24565235,23015773,24857104,12980151,11876953,1
0,0,62318327,32138114,30180213,40688228,20864270,19823958,21630099,11273844,10356255,1
0,0,49069254,25843266,23225988,32031788,16789547,15242241,17037466,9053719,7983747,1
0,0,39146055,19456012,19690043,25861514,12536529,13324985,13284541,6919483,6365058,1
0,0,37663707,18701749,18961958,26291245,12931592,13359653,11372462,5770157,5602305,1
0,0,26454983,12944326,13510657,18916270,9208311,9707959,7538713,3736015,3802698,1
0,0,19208842,9651499,9557343,13807600,6978179,6829421,5401242,2673320,2727922,1
0,0,9232503,4490603,4741900,6383717,3113424,3270293,2848786,1377179,1471607,1
0,0,11289005,5283695,6005310,7894990,3765796,4129194,3394015,1517899,1876116,1
0,0,4489802,2372881,2116921,2913452,1533420,1380032,1576350,839461,736889,1
1,0,12541302,6640662,5900640,9108060,4774477,4333583,3433242,1866185,1567057,1
1,0,1414884,763501,651383,1115289,600891,514398,299595,162610,136985,1
1,0,1411973,746818,665155,1109056,584994,524062,302917,161824,141093,1
1,0,1413853,744855,668998,1097236,575511,521725,316617,169344,147273,1
1,0,1237462,640362,597100,926108,477098,449010,311354,163264,148090,1
1,0,1160913,603578,557335,827361,423292,404069,333552,180286,153266,1
1,0,1086122,584559,501563,738568,385544,353024,347554,199015,148539,1
